Type,Class,Name,March,April,May,June,July,August,S13 August,S13 September
Skill,Necromancer,Decrepify,236,228,229,228,229,227,218,218
Skill,Necromancer,Lower Resist,356,342,398,402,427,432,431,430
Skill,Paladin,Prayer,234,234,231,229,243,245,243,241
Skill,Paladin,Resist Fire,305,342,387,405,403,422,443,428
Skill,Paladin,Defiance,680,730,703,707,698,700,724,722
Skill,Paladin,Resist Cold,138,130,159,180,178,195,188,207
Skill,Paladin,Cleansing,396,396,408,407,383,384,403,401
Skill,Paladin,Resist Lightning,501,481,541,562,523,544,584,584
Skill,Paladin,Vigor,1006,969,991,1012,951,931,892,909
Skill,Paladin,Meditation,31,32,31,31,34,34,34,34
Skill,Paladin,Redemption,187,182,201,219,215,213,195,199
Skill,Paladin,Salvation,738,748,861,919,898,920,940,921
Skill,Paladin,Might,285,292,346,345,345,363,344,343
Skill,Paladin,Holy Fire,140,152,132,129,132,131,132,130
Skill,Paladin,Precision,128,125,104,100,104,102,104,101
Skill,Paladin,Blessed Aim,870,853,849,890,830,809,770,790
Skill,Paladin,Concentration,778,741,717,758,698,677,638,638
Skill,Paladin,Holy Freeze,263,241,260,276,260,259,260,277
Skill,Paladin,Holy Shock,1454,1401,1419,1393,1468,1450,1450,1448
Skill,Paladin,Sanctuary,1258,1198,1139,1062,1090,1070,1091,1050
Skill,Paladin,Fanaticism,679,721,641,642,641,640,660,660
Skill,Paladin,Conviction,573,547,574,560,586,565,566,544
Skill,Paladin,Sacrifice,285,380,377,373,393,393,373,370
Skill,Paladin,Smite,765,826,777,776,758,776,777,775
Skill,Paladin,Holy Bolt,1811,1733,1674,1597,1693,1673,1674,1653
Skill,Paladin,Zeal,351,455,447,424,448,447,428,419
Skill,Paladin,Charge,427,424,462,479,480,517,540,538
Skill,Paladin,Vengeance,183,173,189,185,189,188,188,187
Skill,Paladin,Blessed Hammer,1010,986,984,1021,965,945,908,925
Skill,Paladin,Absolution,121,118,94,90,95,94,94,93
Skill,Paladin,Holy Shield,2058,2124,2076,2049,2049,2069,2099,2086
Skill,Paladin,Fist of the Heavens,1715,1644,1564,1484,1584,1564,1564,1544
Skill,Paladin,Dashing Strike,277,257,244,248,228,249,270,270
Skill,Sorceress,Ice Bolt,763,736,794,763,750,743,776,772
Skill,Sorceress,Frigerate,482,494,523,539,578,558,559,550
Skill,Sorceress,Frost Nova,411,388,391,452,473,472,471,432
Skill,Sorceress,Ice Blast,1307,1228,1276,1259,1262,1261,1299,1286
Skill,Sorceress,Shiver Armor,830,823,853,891,933,913,909,901
Skill,Sorceress,Glacial Spike,997,946,1005,958,934,933,971,972
Skill,Sorceress,Blizzard,238,217,220,238,249,248,249,250
Skill,Sorceress,Freezing Pulse,841,785,825,801,764,764,784,784
Skill,Sorceress,Chilling Armor,20,11,13,11,10,10,10,9
Skill,Sorceress,Frozen Orb,673,668,732,737,754,734,714,734
Skill,Sorceress,Cold Mastery,2099,1998,2065,2069,2069,2049,2069,2069
Skill,Sorceress,Charged Bolt,813,750,750,735,718,699,644,677
Skill,Sorceress,Static Field,268,274,272,267,271,268,268,268
Skill,Sorceress,Telekinesis,1889,1967,2048,2130,2172,2170,2219,2220
Skill,Sorceress,Nova,545,548,547,527,527,547,549,549
Skill,Sorceress,Lightning Surge,1493,1505,1591,1613,1619,1608,1601,1628
Skill,Sorceress,Chain Lightning,743,706,711,694,715,716,661,700
Skill,Sorceress,Teleport,1548,1566,1663,1734,1755,1749,1767,1739
Skill,Sorceress,Discharge,453,456,453,434,414,435,453,472
Skill,Sorceress,Thunder Storm,1176,1225,1307,1367,1386,1386,1418,1411
Skill,Sorceress,Energy Shield,505,521,557,573,595,597,610,612
Skill,Sorceress,Lightning Mastery,2421,2414,2492,2510,2503,2504,2488,2504
Skill,Sorceress,Fire Bolt,378,357,419,431,450,448,452,432
Skill,Sorceress,Warmth,1484,1487,1538,1600,1639,1618,1611,1625
Skill,Sorceress,Inferno,69,90,110,110,109,109,109,110
Skill,Sorceress,Immolate,47,47,47,47,46,46,46,66
Skill,Sorceress,Fire Ball,501,482,522,513,512,503,503,505
Skill,Sorceress,Fire Wall,27,27,28,28,40,40,40,40
Skill,Sorceress,Enflame,524,497,499,544,563,540,537,536
Skill,Sorceress,Meteor,102,102,103,84,62,62,68,68
Skill,Sorceress,Hydra,1301,1236,1256,1353,1360,1333,1293,1273
Skill,Sorceress,Fire Mastery,1271,1303,1342,1445,1447,1399,1360,1359
Unique,,Alma Negra,7,7,6,6,7,7,7,7
Unique,,Andariel's Visage,52,53,56,55,54,55,52,54
Unique,,Arachnid Mesh,425,437,448,455,463,466,465,471
Unique,,Arioc's Needle,0,0,0,0,,1,1,0
Unique,,Arkaine's Valor,19,20,23,21,22,22,22,23
Unique,,Arm of King Leoric,2,4,4,4,4,5,6,6
Unique,,Arreat's Face,105,102,106,105,106,107,105,105
Unique,,Astreon's Iron Ward,6,7,5,5,4,4,4,4
Unique,,Athena's Wrath,0,0,0,0,,0,0,0
Unique,,Atma's Scarab,21,17,17,18,16,16,18,19
Unique,,Atma's Wail,0,0,0,0,,0,0,0
Unique,,Axe of Fechmar,1,1,0,0,,0,0,0
Unique,,Azurewrath,12,11,11,10,11,12,12,12
Unique,,Baezil's Vortex,2,2,2,1,0(+1),0(+1),0(+1),0(+1)
Unique,,Bane Ash,1,1,1,1,0(+1),0(+1),0(+1),0(+1)
Unique,,Baranar's Star,0,0,0,0,,0,0,0
Unique,,Bartuc's Cut-Throat,23,24,27,26,27,26,26,24
Unique,,Biggin's Bonnet,1,1,1,1,1,1,1,1
Unique,,Bing Sz Wang,1,2,2,2,2,1,1,1
Unique,,Black Hades,0,0,0,0,,0,0,0
Unique,,Blackbog's Sharp,0,0,0,0,1,1,1,1
Unique,,Blackhand Key,1,1,2,2,2(+1),2(+1),2(+1),2(+1)
Unique,,Blackhorn's Face,0,0,0,1,,0,0,0
Unique,,Blackleach Blade,0,0,0,0,,0,0,0
Unique,,Blackoak Shield,2,2,3,3,3,3,4,5
Unique,,Blacktongue,0,0,0,0,,0,0,0
Unique,,Blade Of Ali Baba,0,0,0,0,,0,0,0
Unique,,Bladebone,0,0,0,0,,0,0,0
Unique,,Bladebuckle,4,3,2,2,2,2,2,2
Unique,,Blastbark,0,0,0,0,,0,0,0
Unique,,Blinkbat's Form,0,0,0,0,,0,0,0
Unique,,Blood Crescent,0,0,0,0,,0,0,0
Unique,,Blood Raven's Charge,0,0,0,0,,0,0,1
Unique,,Bloodfist,11,9,9,10,9,9,7,7
Unique,,Bloodletter,2,2,2,2,1(+1),1(+1),1,1
Unique,,Bloodmoon,0,0,0,0,,0,0,0
Unique,,Bloodrise,0,0,0,0,,0,1,0
Unique,,Bloodthief,0,0,0,0,,0,0,0
Unique,,Bloodtree Stump,1,1,1,1,0(+1),0(+1),0(+1),0(+1)
Unique,,Boneflame,6,8,7,8,9,10,11,11
Unique,,Boneflesh,0,0,0,0,,0,0,0
Unique,,Bonehew,0,0,0,0,,0,0,0
Unique,,Boneshade,3,3,4,4,3,2(+1),2(+1),3(+1)
Unique,,Boneslayer Blade,0,0,0,0,,0,0,0
Unique,,Bonesnap,2,3,2,2,1(+1),1(+1),1(+1),1(+1)
Unique,,Brainhew,0,0,1,1,0(+1),0(+1),0(+1),0(+1)
Unique,,Bul-Kathos' Wedding Band,222,239,242,250,262,259,264,265
Unique,,Buriza-Do Kyanon,8,7,7,7,6(+1),6(+1),6(+1),7(+1)
Unique,,Butcher's Pupil,1,1,1,1,1,1,1,1
Unique,,Bverrit Keep,0,0,0,0,,0,0,0
Unique,,Carin Shard,3,3,3,3,0(+3),0(+3),0(+3),0(+2)
Unique,,Carrion Wind,66,61,68,69,64,65,63,64
Unique,,Cerebus' Bite,2,3,3,3,3,3,3,3
Unique,,Chance Guards,58,55,55,58,58,57,58,59
Unique,,Chromatic Ire,0,0,0,0,,0,0,0
Unique,,Cliffkiller,1,0,0,0,,0,0,0
Unique,,Cloudcrack,0,0,0,0,,0,0,0
Unique,,Coif of Glory,0,0,0,0,,0,0,0
Unique,,Coldkill,0,0,0,0,,0,0,0
Unique,,Coldsteel Eye,0,0,0,0,,0,0,0
Unique,,Corpsemourn,0,0,0,0,,0,0,0
Unique,,Crainte Vomir,1,1,1,1,0(+1),0(+1),0(+1),0(+1)
Unique,,Cranebeak,2,2,2,2,1,1,1,1
Unique,,Crescent Moon,3,3,3,2,2,2,1,1
Unique,,Crow Caw,0,0,0,0,,0,0,0
Unique,,Crown of Ages,16,15,18,20,19,20,20,18
Unique,,Crown of Thieves,1,1,1,1,,1,1,1
Unique,,Crushflange,0,0,0,0,,0,1,0(+1)
Unique,,Culwen's Point,3,2,2,2,1(+1),1(+1),1(+2),1(+3)
Unique,,Dark Clan Crusher,6,6,6,7,7,7,6,5
Unique,,Darkforce Spawn,1,1,1,2,2,2,2,2
Unique,,Darkglow,0,0,0,0,,0,0,0
Unique,,Darksight Helm,0,0,0,0,,0,0,0
Unique,,Death Cleaver,5,6,3,3,3,3,4,4
Unique,,Deathbit,0,0,0,0,,0,0,0
Unique,,Death's Fathom,16,15,19,19,18,18,19,19
Unique,,Death's Web,18,17,17,18,20,20,21,21(+1)
Unique,,Deathspade,0,0,0,0,,0,0,0
Unique,,Demon Limb,48,46,48,45,46,46,46,44
Unique,,Demon Machine,1,1,1,1,0(+1),0(+1),0(+1),0(+1)
Unique,,Demonhorn's Edge,0,0,1,1,1,1,1,1
Unique,,Demon's Arch,1,1,1,1,1,1,1,1
Unique,,Dimoak's Hew,0,0,0,0,,0,0,0
Unique,,Djinn Slayer,1,2,1,1,1,1,1,1
Unique,,Doombringer,0,0,1,1,1,1,1,1
Unique,,Doomslinger,13,16,18,18,19,18,18,16
Unique,,Dracul's Grasp,90,101,110,104,105,105,108,109
Unique,,Dragonscale,1,0,0,0,,0,1,1
Unique,,Duriel's Shell,11,7,8,7,6,6,6,6
Unique,,Duskdeep,0,0,0,0,,0,0,0
Unique,,Dwarf Star,86,82,81,77,79,81,76,82
Unique,,Eaglehorn,3,3,3,3,2(+1),2(+1),2(+1),2(+1)
Unique,,Earth Shifter,7,7,8,8,7(+1),7(+1),7(+1),7(+1)
Unique,,Earthshaker,1,1,1,1,1,1,1,1
Unique,,Endlesshail,0,0,1,0,0(+1),0(+1),0(+1),0(+1)
Unique,,Eschuta's Temper,24,23,23,21,20,20,21,20
Unique,,Ethereal Edge,0,0,0,0,,0,0,0
Unique,,Executioner's Justice,1,1,2,1,1,1,1,1
Unique,,Felloak,0,0,0,0,,0,0,0
Unique,,Firelizard's Talons,4,4,3,3,2,2,2,2
Unique,,Flamebellow,2,2,2,2,2,2,2,2
Unique,,Fleshrender,8,8,8,9,7(+1),7(+1),6(+1),6(+1)
Unique,,Fleshripper,4,3,4,4,3(+1),3(+1),3(+1),4
Unique,,Frostburn,33,33,32,29,31,29,30,29
Unique,,Frostwind,12,13,14,14,14,14,14,14
Unique,,Gargoyle's Bite,1,1,1,1,0(+1),0(+1),0(+1),0(+1)
Unique,,Gerke's Sanctuary,3,5,4,5,4,4,5,4
Unique,,Ghostflame,0,0,1,1,1,1,1,1
Unique,,Ghoulhide,2,2,2,2,2,2,3,4
Unique,,Giant Skull,1,1,1,1,2,2,2,2
Unique,,Gimmershred,0,0,0,0,,0,0,0
Unique,,Ginther's Rift,0,0,0,0,,0,0,0
Unique,,Gleamscythe,1,0,0,1,0(+1),0(+1),0(+2),0(+2)
Unique,,Gloom's Trap,2,1,1,1,2,2,1,1
Unique,,Goblin Toe,9,10,10,9,8,8,8,8
Unique,,Goldskin,4,1,1,1,1,1,1,1
Unique,,Goldstrike Arch,0,0,0,1,1,1,1,0
Unique,,Goldwrap,74,65,64,57,59,60,56,55
Unique,,Gore Rider,150,144,145,147,144,147,156,154
Unique,,Gorefoot,0,0,0,1,1,1,1,0
Unique,,Goreshovel,0,1,1,1,1,1,1,1
Unique,,Gravenspine,2,1,1,1,0(+1),0(+1),0(+1),0(+1)
Unique,,Gravepalm,1,1,1,1,1,1,1,1
Unique,,Greyform,0,0,0,0,,0,0,0
Unique,,Griffon's Eye,94,95,96,95,93,94,95,93
Unique,,Grim's Burning Dead,0,0,0,0,,0,0,0
Unique,,Griswold's Edge,1,0,0,0,,0,0,0
Unique,,Guardian Angel,22,21,17,18,18,18,17,18
Unique,,Guardian Naga,1,1,1,1,,0,0,0
Unique,,Gull,11,12,9,8,10,9,9,8
Unique,,Gut Siphon,0,0,0,0,,0,0,0
Unique,,Halaberd's Reign,1,1,1,1,1,1,1,1
Unique,,Hand of Blessed Light,3,2,2,2,1(+1),1(+1),1(+1),1(+2)
Unique,,Harlequin Crest,401,387,384,389,388,391,392,393
Unique,,Hawkmail,0,0,0,1,1,1,1,0
Unique,,Head Hunter's Glory,0,0,0,0,,0,1,0
Unique,,Headstriker,27,26,25,24,23,23,24,24
Unique,,Heart Carver,3,2,3,3,3(+1),3(+1),3(+1),3(+1)
Unique,,Heavenly Garb,0,0,1,1,1,1,1,1
Unique,,Heaven's Light,7,5,6,6,4(+1),4(+1),5(+1),5(+1)
Unique,,Hellcast,1,1,1,1,1,1,1,1
Unique,,Hellclap,0,0,0,1,1,0,0,0
Unique,,Hellmouth,0,0,0,0,,0,1,1
Unique,,Hellplague,1,1,1,1,0(+1),0(+1),0(+1),0(+1)
Unique,,Hellrack,2,2,2,2,2,2,2,3
Unique,,Hellslayer,0,0,1,1,0(+1),0(+1),0(+1),0(+1)
Unique,,Herald Of Zakarum,0,0,0,0,,0,0,0
Unique,,Hexfire,5,3,4,5,4(+1),4(+1),5(+1),6(+1)
Unique,,Highlord's Wrath,154,148,150,153,152,156,156,157
Unique,,Homunculus,146,139,137,137,138,138,133,133
Unique,,Hone Sundan,1,1,1,1,0(+1),0(+1),0(+1),0(+1)
Unique,,Horizon's Tornado,0,1,2,2,1(+1),1(+1),1(+1),1(+2)
Unique,,Hotspur,0,0,0,0,,0,0,0
Unique,,Howltusk,0,0,0,0,,0,0,0
Unique,,Humongous,0,0,0,0,,0,0,0
Unique,,Husoldal Evo,0,0,0,0,,0,0,0
Unique,,Iceblink,0,1,0,0,,0,0,0
Unique,,Ichorsting,0,0,0,0,,0,0,0
Unique,,Infernostride,6,7,8,8,8,8,8,8
Unique,,Iron Pelt,0,0,0,0,,0,0,0
Unique,,Ironstone,1,1,1,1,0(+1),0(+1),0(+1),0(+1)
Unique,,Islestrike,2,2,2,2,1(+1),1(+1),1(+2),1(+1)
Unique,,Jade Talon,5,5,7,4,2(+1),2(+1),2(+1),3(+1)
Unique,,Jalal's Mane,86,84,86,85,78,79,81,80
Unique,,Kelpie Snare,0,0,0,0,,0,0,0
Unique,,Kinemil's Awl,0,0,0,0,,0,0,0
Unique,,Kira's Guardian,11,10,10,10,9,9,10,8
Unique,,Knell Striker,1,1,1,1,0(+1),0(+1),0(+1),0(+1)
Unique,,Kuko Shakaku,2,2,2,3,2(+1),2(+1),2(+1),2(+1)
Unique,,Lacerator,4,4,4,3,3,3,3,3
Unique,,Lance Guard,2,1,1,1,1,1,1,1
Unique,,Lance of Yaggai,0,0,0,0,,0,0,0
Unique,,Langer Briser,0,0,0,0,,0,0,0
Unique,,Lava Gout,6,5,5,4,4,4,5,5
Unique,,Leadcrow,0,0,0,0,,0,0,0
Unique,,Lenymo,2,3,3,3,2,2,2,2
Unique,,Leviathan,4,4,6,4,4,3,2,2
Unique,,Lidless Wall,65,68,65,69,71,69,72,72
Unique,,Lightsabre,24,21,19,22,22(+1),23(+1),22(+1),22(+1)
Unique,,Lycander's Aim,0,0,0,0,,0,0(+1),0(+1)
Unique,,Lycander's Flank,0,0,0,0,,0,0,0
Unique,,Maelstrom,1,1,1,1,0(+1),0(+1),0(+1),0(+1)
Unique,,Magefist,307,301,309,320,323,325,320,320
Unique,,Magewrath,1,1,0,0,1,0(+1),0(+1),0
Unique,,Manald Heal,47,38,35,36,38,39,37,38
Unique,,Mang Song's Lesson,19,18,19,20,17(+3),16(+2),15(+1),16(+1)
Unique,,Mara's Kaleidoscope,270,287,287,292,300,299,294,295
Unique,,Marrowwalk,14,16,17,16,16,15,17,17
Unique,,Medusa's Gaze,154,160,164,170,173,173,172,175
Unique,,Messerschmidt's Reaver,0,0,0,1,,0,0,0
Unique,,Metalgrid,15,18,20,19,23,22,19,17
Unique,,Moonfall,0,0,0,0,,0,0,0
Unique,,Moser's Blessed Circle,4,3,2,3,4,4,4,4
Unique,,Nagelring,142,135,126,123,120,118,116,117
Unique,,Nature's Peace,25,22,24,23,25,25,28,28
Unique,,Nightsmoke,12,11,11,12,10,10,10,10
Unique,,Nightwing's Veil,23,28,31,30,30,28,32,33
Unique,,Nokozan Relic,3,2,2,2,1,1,1,1
Unique,,Nord's Tenderizer,0,0,0,0,,0,0,0
Unique,,Nosferatu's Coil,9,10,12,11,10,10,11,10
Unique,,Ondal's Wisdom,44,41,42,42,41(+1),41(+1),40,39
Unique,,Ormus' Robes,10,12,12,11,10,9,9,10
Unique,,Peasant Crown,6,5,5,4,4,4,4,4
Unique,,Pelta Lunata,1,1,1,1,1,1,1,1
Unique,,Pierre Tombale Couant,0,0,1,1,0(+1),0(+1),0(+1),0(+1)
Unique,,Plague Bearer,7,5,5,5,4,4,4(+1),4
Unique,,Pluckeye,0,0,0,0,,0,0,0
Unique,,Pompeii's Wrath,2,1,1,1,1,1,1,1
Unique,,Pus Spitter,0,0,0,1,1,0,0,0
Unique,,Que-Hegan's Wisdom,22,21,22,21,20,19,18,18
Unique,,Radament's Sphere,29,27,33,34,39,41,40,39
Unique,,Rakescar,2,1,1,1,0(+1),0(+1),0(+1),0(+1)
